# freq,S11
 (7.479072199790612885e-01+7.482543636512015706e-01j), (1.000000000000000000e+05+0.000000000000000000e+00j)
 (7.987486476874394725e-01+9.049865567314220316e-01j), (4.259950000000000000e+07+0.000000000000000000e+00j)
 (9.154985567290165882e-01+7.433701891999945355e-01j), (8.509900000000000000e+07+0.000000000000000000e+00j)
 (5.219319253731672381e-01+9.787614589049750125e-01j), (1.275985000000000000e+08+0.000000000000000000e+00j)
 (3.890037500977198137e-01+8.887032258227101078e-02j), (1.700980000000000000e+08+0.000000000000000000e+00j)
 (9.904989632518160780e-01+9.297392725107952449e-01j), (2.125975000000000000e+08+0.000000000000000000e+00j)
 (8.800419373726193761e-01+4.623406157254185134e-01j), (2.550970000000000000e+08+0.000000000000000000e+00j)
 (9.632362883830546396e-01+1.512068533713595286e-01j), (2.975965000000000000e+08+0.000000000000000000e+00j)
 (2.019040577975983464e-01+1.996590047425150782e-01j), (3.400960000000000000e+08+0.000000000000000000e+00j)
 (1.962084086574031883e-01+3.809544051545323828e-01j), (3.825955000000000000e+08+0.000000000000000000e+00j)
 (9.094831196674857399e-01+7.562189595570614209e-01j), (4.250950000000000000e+08+0.000000000000000000e+00j)
 (1.967622002506952406e-02+5.786873401834577990e-01j), (4.675945000000000000e+08+0.000000000000000000e+00j)
 (2.649805659692476834e-01+1.083341433395457187e-02j), (5.100940000000000000e+08+0.000000000000000000e+00j)
 (7.782268288984258708e-01+7.909736836032357221e-01j), (5.525935000000000000e+08+0.000000000000000000e+00j)
 (3.604275127657752265e-01+9.627572758097571182e-01j), (5.950930000000000000e+08+0.000000000000000000e+00j)
 (5.617687594080303937e-01+2.479766881456033634e-01j), (6.375925000000000000e+08+0.000000000000000000e+00j)
 (3.737622500498261058e-01+6.920578129153476254e-02j), (6.800920000000000000e+08+0.000000000000000000e+00j)
 (3.288408342969378895e-01+5.781366530262571635e-01j), (7.225915000000000000e+08+0.000000000000000000e+00j)
 (7.698987158515122609e-01+6.625288098323067754e-01j), (7.650910000000000000e+08+0.000000000000000000e+00j)
 (9.568187797728079369e-01+6.583211916521923834e-01j), (8.075905000000000000e+08+0.000000000000000000e+00j)
 (2.590908890557683808e-01+1.690483657919891192e-01j), (8.500900000000000000e+08+0.000000000000000000e+00j)
 (4.212145682958712278e-01+1.815963372432551903e-01j), (8.925895000000000000e+08+0.000000000000000000e+00j)
 (3.406245665071562234e-01+7.019308924854060772e-01j), (9.350890000000000000e+08+0.000000000000000000e+00j)
 (3.279323188711442683e-01+5.523818855290946184e-01j), (9.775885000000000000e+08+0.000000000000000000e+00j)
