# freq,S11,S22
 (4.033663243617164884e-01+6.069446722945458506e-01j), (5.913668160568362753e-01+4.062668073850778105e-01j), (1.000000000000000000e+05+0.000000000000000000e+00j)
 (5.713412259012656813e-01+1.530432200061658810e-01j), (6.211760657525537965e-01+1.928158306677394407e-01j), (4.259950000000000000e+07+0.000000000000000000e+00j)
 (1.020232516951201651e-01+9.781029933503104790e-02j), (4.643422634754039713e-01+7.228323489175452199e-01j), (8.509900000000000000e+07+0.000000000000000000e+00j)
 (6.549680273733915481e-02+7.917645287862760117e-01j), (8.039268726772568208e-01+3.626892959679234307e-01j), (1.275985000000000000e+08+0.000000000000000000e+00j)
 (1.953003572382694397e-02+1.472577036965685426e-01j), (1.419239459843871787e-01+3.450325677194128193e-01j), (1.700980000000000000e+08+0.000000000000000000e+00j)
 (6.186963214775185183e-01+5.193893655193970726e-02j), (1.674124228230418066e-01+1.109132551065675765e-01j), (2.125975000000000000e+08+0.000000000000000000e+00j)
 (9.793744087082739691e-01+8.176127737860204858e-01j), (3.323933061946006129e-01+4.219280779404078752e-01j), (2.550970000000000000e+08+0.000000000000000000e+00j)
 (1.765527011054286444e-01+9.849241722897987827e-01j), (1.843923063402962415e-01+2.009299773555659474e-01j), (2.975965000000000000e+08+0.000000000000000000e+00j)
 (6.983094142907048107e-01+2.458093017910185640e-01j), (6.947361718411276810e-01+2.878973201512717850e-01j), (3.400960000000000000e+08+0.000000000000000000e+00j)
 (2.042013209464113022e-01+6.994173782445228804e-01j), (1.252815585606210647e-01+3.380499269774533966e-01j), (3.825955000000000000e+08+0.000000000000000000e+00j)
 (3.532341184634812947e-01+4.223695198122587868e-01j), (8.940113968427261248e-01+7.673629187478837599e-01j), (4.250950000000000000e+08+0.000000000000000000e+00j)
 (8.368646519242679549e-01+6.992092974578770770e-01j), (8.626385399809322063e-01+2.472597628322427132e-01j), (4.675945000000000000e+08+0.000000000000000000e+00j)
 (9.569435903341256822e-01+4.767281562627834202e-02j), (8.336907387302279204e-01+6.547948215371652836e-01j), (5.100940000000000000e+08+0.000000000000000000e+00j)
 (1.910367700734577623e-01+2.391895952937085346e-01j), (4.105251276076496980e-01+4.429744519978364714e-01j), (5.525935000000000000e+08+0.000000000000000000e+00j)
 (7.723787349559290139e-01+3.625821610182633492e-01j), (1.696524968756600860e-01+9.690519196128445367e-01j), (5.950930000000000000e+08+0.000000000000000000e+00j)
 (2.919986959044471586e-01+4.949806288127376330e-01j), (3.109659720847144371e-01+6.581017376922143614e-01j), (6.375925000000000000e+08+0.000000000000000000e+00j)
 (7.405066447989155920e-01+6.191037738832618764e-01j), (8.655042043088942982e-01+4.461629199087894238e-01j), (6.800920000000000000e+08+0.000000000000000000e+00j)
 (1.363765287573396323e-01+9.644533668987504971e-01j), (1.455813591456412981e-01+1.794478758292362697e-01j), (7.225915000000000000e+08+0.000000000000000000e+00j)
 (6.160220056310926617e-01+5.055757300443886049e-01j), (6.409659043055699890e-01+2.637819987793893484e-01j), (7.650910000000000000e+08+0.000000000000000000e+00j)
 (1.267978020584060728e-01+9.902248781971157987e-01j), (9.501064885148452488e-01+7.369545141669879840e-01j), (8.075905000000000000e+08+0.000000000000000000e+00j)
 (4.775930481895505064e-01+5.700411977063148949e-01j), (8.602926806880829558e-01+7.520535897153317606e-01j), (8.500900000000000000e+08+0.000000000000000000e+00j)
 (6.419439827393731424e-01+4.758505052341657215e-01j), (2.242535835851606763e-01+2.802714727608768275e-02j), (8.925895000000000000e+08+0.000000000000000000e+00j)
 (2.410302959632393272e-02+3.476872099639917169e-01j), (9.703433818667274169e-01+1.428406741403431823e-03j), (9.350890000000000000e+08+0.000000000000000000e+00j)
 (6.697633347890344924e-01+6.145994904423988103e-01j), (3.650307684345945880e-01+3.305095332039694744e-01j), (9.775885000000000000e+08+0.000000000000000000e+00j)
 (9.178168310047084555e-01+6.818965959818249489e-01j), (2.698430123358778188e-01+5.301953599485336177e-01j), (1.020088000000000000e+09+0.000000000000000000e+00j)
 (2.334700432683962656e-01+2.634254938837534699e-01j), (2.989735777585154075e-01+5.513758966038581066e-01j), (1.062587500000000000e+09+0.000000000000000000e+00j)
 (4.756244191886134232e-01+8.591266731475166729e-02j), (1.472081050449534079e-01+4.539166223487028917e-01j), (1.105087000000000000e+09+0.000000000000000000e+00j)
 (6.002767908132924379e-01+9.839708585347212155e-01j), (9.777207901983689942e-01+9.842242247581506343e-01j), (1.147586500000000000e+09+0.000000000000000000e+00j)
 (6.962887471355670987e-01+7.806570141273678765e-01j), (4.186929397180716439e-02+7.636516945321936145e-02j), (1.190086000000000000e+09+0.000000000000000000e+00j)
 (8.523942034571552195e-02+2.036031364745181094e-01j), (8.852361470782267316e-01+6.881218124754516774e-01j), (1.232585500000000000e+09+0.000000000000000000e+00j)
 (1.920543980610368573e-01+6.349903182380066680e-01j), (8.521496483260164734e-01+5.489993164913905543e-01j), (1.275085000000000000e+09+0.000000000000000000e+00j)
 (7.676962636057660383e-02+5.071074350424898958e-01j), (5.173570784600234340e-01+1.213521240663408829e-01j), (1.317584500000000000e+09+0.000000000000000000e+00j)
 (1.445897871449213223e-01+9.615653556835384030e-01j), (7.619055121216989912e-01+9.101543123757300791e-01j), (1.360084000000000000e+09+0.000000000000000000e+00j)
 (3.219813452973406820e-01+6.693510952697867555e-01j), (8.417304424250452444e-01+8.716583943967608494e-01j), (1.402583500000000000e+09+0.000000000000000000e+00j)
 (2.101176145465344369e-02+3.046018735661215615e-01j), (8.843978304586604944e-01+6.262245498122610554e-01j), (1.445083000000000000e+09+0.000000000000000000e+00j)
 (8.495182773420827393e-01+1.776620616198196778e-01j), (1.952009863976454929e-01+1.578122739814992181e-01j), (1.487582500000000000e+09+0.000000000000000000e+00j)
 (5.089410231795501449e-01+1.690922095810193371e-01j), (3.813053652809725858e-01+7.716460313022819317e-01j), (1.530082000000000000e+09+0.000000000000000000e+00j)
 (7.050900929171214360e-01+3.716219929818825873e-01j), (1.907916020327062867e-01+6.063676415921359641e-02j), (1.572581500000000000e+09+0.000000000000000000e+00j)
 (4.778171577248516710e-01+4.859846365770162935e-01j), (9.046845896503659112e-01+6.257273812661394707e-01j), (1.615081000000000000e+09+0.000000000000000000e+00j)
 (8.611899033685739280e-01+1.991363707416634599e-01j), (8.958221431194280937e-01+2.423756224353680322e-01j), (1.657580500000000000e+09+0.000000000000000000e+00j)
 (9.276063374032184061e-02+1.685469177289733445e-02j), (9.171438940396027251e-01+2.759123017344230488e-01j), (1.700080000000000000e+09+0.000000000000000000e+00j)
 (5.844662840700858286e-01+9.218438266787818414e-01j), (5.828613403170301854e-02+9.554647248176314500e-01j), (1.742579500000000000e+09+0.000000000000000000e+00j)
 (1.356857046049962934e-01+4.391860661053241799e-01j), (5.981552576067460381e-01+8.359379007285834273e-01j), (1.785079000000000000e+09+0.000000000000000000e+00j)
 (4.985025036821800759e-01+8.065904420810861009e-01j), (6.112954284067059207e-01+9.757281966097735015e-01j), (1.827578500000000000e+09+0.000000000000000000e+00j)
 (8.571095601481965032e-01+9.107454115617155121e-01j), (1.155996551267330918e-01+1.501230620091067447e-01j), (1.870078000000000000e+09+0.000000000000000000e+00j)
 (1.139991922473281294e-01+6.494824368474620968e-01j), (2.533407816105883725e-01+2.012367062431185127e-01j), (1.912577500000000000e+09+0.000000000000000000e+00j)
 (7.441950726456872944e-01+8.798527488708923761e-01j), (6.257880178138197635e-02+4.240476061607109104e-01j), (1.955077000000000000e+09+0.000000000000000000e+00j)
 (4.446865720119278498e-01+5.103266071819571037e-01j), (6.079990876681593548e-01+4.312633351844112894e-01j), (1.997576500000000000e+09+0.000000000000000000e+00j)
 (5.319281323818944029e-01+6.345065218649754701e-01j), (1.396167366530103315e-01+2.790427638858028470e-02j), (2.040076000000000000e+09+0.000000000000000000e+00j)
 (3.372759193596958083e-01+2.741313757120406036e-01j), (9.589564823188306830e-01+6.726084648642790542e-01j), (2.082575500000000000e+09+0.000000000000000000e+00j)
 (8.838120980057367904e-01+8.241600422153995131e-01j), (1.103458773098831003e-02+2.820269815279943248e-01j), (2.125075000000000000e+09+0.000000000000000000e+00j)
 (7.960537066094396375e-01+1.462711979114382777e-01j), (1.978171209210198844e-01+9.538429842176232576e-03j), (2.167574500000000000e+09+0.000000000000000000e+00j)
 (5.097133169645946538e-01+8.807780568502123764e-01j), (8.041801541466988557e-01+6.568295743024685773e-01j), (2.210074000000000000e+09+0.000000000000000000e+00j)
 (6.447996398793167661e-01+9.572154052457518825e-01j), (5.891654326818457355e-01+8.856389697427008434e-01j), (2.252573500000000000e+09+0.000000000000000000e+00j)
 (6.477762951380811041e-01+7.916420382979050263e-02j), (5.689126710348811899e-01+2.500410022116411612e-01j), (2.295073000000000000e+09+0.000000000000000000e+00j)
 (6.349780093999625175e-01+1.640591197158148828e-01j), (9.868049413886095245e-01+1.395020597338445523e-01j), (2.337572500000000000e+09+0.000000000000000000e+00j)
 (3.967277905197802435e-01+4.858065277837803064e-01j), (5.013573495088684551e-01+8.723080347237702759e-01j), (2.380072000000000000e+09+0.000000000000000000e+00j)
 (6.451880001721156388e-01+6.672423287910795864e-01j), (2.324301950043168308e-01+2.966974128208199613e-01j), (2.422571500000000000e+09+0.000000000000000000e+00j)
 (7.130485276284487250e-01+6.422530694148013142e-01j), (6.191165742658440996e-01+2.369821692330159602e-01j), (2.465071000000000000e+09+0.000000000000000000e+00j)
 (5.362910798136630852e-01+1.022224375424048981e-01j), (4.081892391985443291e-01+7.309616659245582460e-01j), (2.507570500000000000e+09+0.000000000000000000e+00j)
 (9.424464750431401638e-01+3.106865628420915071e-01j), (5.200823431412382458e-01+4.015732339082924707e-01j), (2.550070000000000000e+09+0.000000000000000000e+00j)
 (9.270964095744346212e-01+4.834286368212860063e-01j), (2.169865817907645766e-01+5.935892234919361021e-01j), (2.592569500000000000e+09+0.000000000000000000e+00j)
 (5.803004566286319443e-01+2.122435735027691228e-01j), (7.348766150157596266e-01+6.581430033415600622e-01j), (2.635069000000000000e+09+0.000000000000000000e+00j)
 (1.947501357059361338e-01+6.319101234725928995e-01j), (9.501675882859567102e-01+4.440549905148098997e-01j), (2.677568500000000000e+09+0.000000000000000000e+00j)
 (8.639195954310306957e-01+2.761382949498356609e-01j), (8.447335553178868528e-01+5.077381000063162508e-01j), (2.720068000000000000e+09+0.000000000000000000e+00j)
 (5.484584220481676375e-01+7.148997698065885364e-01j), (3.621598699017117839e-01+2.202906705744986926e-01j), (2.762567500000000000e+09+0.000000000000000000e+00j)
 (4.545785347385765673e-01+2.394350866412320311e-02j), (1.894180478192786232e-03+1.790722820469439203e-01j), (2.805067000000000000e+09+0.000000000000000000e+00j)
 (1.520450532368491370e-01+1.732721124009793945e-01j), (3.097922504897707707e-01+9.203797417061353459e-01j), (2.847566500000000000e+09+0.000000000000000000e+00j)
 (7.512356532876746096e-01+8.313636087424574050e-01j), (2.296746524986742477e-01+5.561748237211326940e-01j), (2.890066000000000000e+09+0.000000000000000000e+00j)
 (7.946254125099599941e-01+1.038547607878302914e-01j), (7.463461450473773962e-01+3.471382395402495824e-01j), (2.932565500000000000e+09+0.000000000000000000e+00j)
 (8.917241964455321357e-01+2.432279820293385963e-01j), (6.738938147650436195e-01+8.110541808176109368e-01j), (2.975065000000000000e+09+0.000000000000000000e+00j)
 (4.681480851920792885e-01+9.439252662324955079e-01j), (8.526182928100909386e-01+5.849316457965761940e-01j), (3.017564500000000000e+09+0.000000000000000000e+00j)
 (8.050239572222004369e-01+6.824993018081133567e-01j), (5.810474597845138867e-02+9.730784743643052792e-01j), (3.060064000000000000e+09+0.000000000000000000e+00j)
 (3.257818267482436303e-01+2.074142557021918520e-02j), (6.795539405634745123e-01+3.452083916541925923e-01j), (3.102563500000000000e+09+0.000000000000000000e+00j)
 (2.507812705762408889e-01+6.080802980822160864e-01j), (6.670145913534417659e-01+1.530701367154710946e-01j), (3.145063000000000000e+09+0.000000000000000000e+00j)
 (2.298226291944209798e-01+1.236925534428198192e-01j), (4.257999338509633747e-01+7.731519422908270656e-01j), (3.187562500000000000e+09+0.000000000000000000e+00j)
 (7.502637905373724658e-01+2.305532920937375385e-01j), (9.707806134275205334e-01+2.028774372892394595e-01j), (3.230062000000000000e+09+0.000000000000000000e+00j)
 (8.403532177443850948e-02+5.936025784034683062e-01j), (8.423038626845489318e-01+9.175162466743331802e-01j), (3.272561500000000000e+09+0.000000000000000000e+00j)
 (4.619705717723406879e-01+5.306219157284139953e-01j), (2.049393297718710150e-01+5.116174061040860144e-01j), (3.315061000000000000e+09+0.000000000000000000e+00j)
 (9.962862729071495504e-01+2.265462722673737828e-01j), (6.433876359834351799e-01+7.016345375006659557e-01j), (3.357560500000000000e+09+0.000000000000000000e+00j)
 (8.541847357539752439e-01+9.619249230288565711e-01j), (6.463852437010286778e-02+7.452966378901910716e-01j), (3.400060000000000000e+09+0.000000000000000000e+00j)
 (4.290683501191172589e-01+8.757251516268320657e-01j), (2.870554717033168002e-01+5.681786005644804405e-01j), (3.442559500000000000e+09+0.000000000000000000e+00j)
 (5.512743353608426933e-01+5.516488444635520016e-01j), (6.057734018864121550e-01+3.333118027161142694e-01j), (3.485059000000000000e+09+0.000000000000000000e+00j)
