,x,y,z,w,freq,S11
0,0.0,0.0,0.0,0.0,(100000+0j),(0.49961004278994137+0.34074612274516247j)
1,0.0,0.0,0.0,0.0,(42599500+0j),(0.7802699498504873+0.5368823409108489j)
2,0.0,0.0,0.0,0.0,(85099000+0j),(0.9481575429368468+0.7250145954527681j)
3,0.0,0.0,0.0,0.0,(127598500+0j),(0.41966735636607366+0.09349242458035323j)
4,0.0,0.0,0.0,0.0,(170098000+0j),(0.02403187145940633+0.9617251534662089j)
5,0.0,0.0,0.0,0.0,(212597500+0j),(0.08585365862837335+0.5126809860827817j)
6,0.0,0.0,0.0,0.0,(255097000+0j),(0.33891516864515925+0.7789289937306588j)
7,0.0,0.0,0.0,0.0,(297596500+0j),(0.07922507473469387+0.24534065070333988j)
8,0.0,0.0,0.0,0.0,(340096000+0j),(0.16783496346496074+0.1873586027261892j)
9,0.0,0.0,0.0,0.0,(382595500+0j),(0.8967598371859278+0.8699026562570693j)
10,0.0,0.0,0.0,0.0,(425095000+0j),(0.8958092121764948+0.5484987662270698j)
11,0.0,0.0,0.0,0.0,(467594500+0j),(0.6538402277323891+0.08872957611139276j)
12,0.0,0.0,0.0,0.0,(510094000+0j),(0.3882541921020588+0.04282763008771884j)
13,0.0,0.0,0.0,0.0,(552593500+0j),(0.3314379279673141+0.9960178305545874j)
14,0.0,0.0,0.0,0.0,(595093000+0j),(0.8049691876363284+0.2824411641711233j)
15,0.0,0.0,0.0,0.0,(637592500+0j),(0.5603629687046003+0.4451514517411549j)
16,0.0,0.0,0.0,0.0,(680092000+0j),(0.33561674761137006+0.5358325015683828j)
17,0.0,0.0,0.0,0.0,(722591500+0j),(0.720693829367798+0.11558770754815506j)
18,0.0,0.0,0.0,0.0,(765091000+0j),(0.4009173311735583+0.31195803308295644j)
19,0.0,0.0,0.0,0.0,(807590500+0j),(0.4004713005194197+0.6488591845843575j)
20,0.0,0.0,0.0,0.0,(850090000+0j),(0.46714706282496277+0.37654815198947555j)
21,0.0,0.0,0.0,0.0,(892589500+0j),(0.44807073568096845+0.6017994669401743j)
22,0.0,0.0,0.0,0.0,(935089000+0j),(0.8226291376678523+0.12020377809897187j)
23,0.0,0.0,0.0,0.0,(977588500+0j),(0.16861194413173064+0.021381538300625835j)
24,0.0,0.0,0.0,0.0,(1020088000+0j),(0.8985625699900455+0.4781362749059309j)
25,0.0,0.0,0.0,0.0,(1062587500+0j),(0.45559336258779703+0.7276275353195771j)
26,0.0,0.0,0.0,0.0,(1105087000+0j),(0.34074684538603794+0.4756284727240242j)
27,0.0,0.0,0.0,0.0,(1147586500+0j),(0.026811467784844112+0.9166931261220356j)
28,0.0,0.0,0.0,0.0,(1190086000+0j),(0.3059715757420334+0.2724541003636769j)
29,0.0,0.0,0.0,0.0,(1232585500+0j),(0.21546066555777577+0.4375606507155516j)
30,0.0,0.0,0.0,0.0,(1275085000+0j),(0.5304374384496988+0.6290998167507961j)
31,0.0,0.0,0.0,0.0,(1317584500+0j),(0.3523382869228102+0.4852908778160402j)
32,0.0,0.0,0.0,0.0,(1360084000+0j),(0.42333338752867766+0.03852047571010353j)
33,0.0,0.0,0.0,0.0,(1402583500+0j),(0.5511175142656047+0.46485585066291957j)
34,0.0,0.0,0.0,0.0,(1445083000+0j),(0.3450976263309553+0.9519945885947506j)
35,0.0,0.0,0.0,0.0,(1487582500+0j),(0.47842196251620883+0.49037790383999946j)
36,0.0,0.0,0.0,0.0,(1530082000+0j),(0.8016288196556701+0.7133428077696596j)
37,0.0,0.0,0.0,0.0,(1572581500+0j),(0.7059317872408601+0.8898119390102319j)
38,0.0,0.0,0.0,0.0,(1615081000+0j),(0.2217291181845037+0.3543310245765069j)
39,0.0,0.0,0.0,0.0,(1657580500+0j),(0.8672762744613826+0.3766015962770737j)
40,0.0,0.0,0.0,0.0,(1700080000+0j),(0.06558890443729926+0.9570037916239482j)
41,0.0,0.0,0.0,0.0,(1742579500+0j),(0.6953102570091627+0.9088616064865278j)
42,0.0,0.0,0.0,0.0,(1785079000+0j),(0.7692718864896408+0.6171655468233546j)
43,0.0,0.0,0.0,0.0,(1827578500+0j),(0.9556324165959543+0.5380079246294444j)
44,0.0,0.0,0.0,0.0,(1870078000+0j),(0.5074281895919517+0.29863208883577674j)
45,0.0,0.0,0.0,0.0,(1912577500+0j),(0.05173242346808371+0.12323892368874134j)
46,0.0,0.0,0.0,0.0,(1955077000+0j),(0.06349798164067+0.4042270489112124j)
47,0.0,0.0,0.0,0.0,(1997576500+0j),(0.5276294964188758+0.7470470767100786j)
48,0.0,0.0,0.0,0.0,(2040076000+0j),(0.9902542021371264+0.34398885176054417j)
49,0.0,0.0,0.0,0.0,(2082575500+0j),(0.813140304910351+0.3941039518876813j)
