# freq,S11
 (5.018143050240715386e-01+1.124753804224256637e-01j), (1.000000000000000000e+05+0.000000000000000000e+00j)
 (6.391470300387963599e-01+1.126605110389513609e-01j), (4.259950000000000000e+07+0.000000000000000000e+00j)
 (8.356638480160993865e-01+3.250040700414678074e-01j), (8.509900000000000000e+07+0.000000000000000000e+00j)
 (8.443672913144327774e-01+4.703990892000019519e-01j), (1.275985000000000000e+08+0.000000000000000000e+00j)
 (2.995407743028876135e-01+8.703948179488709691e-01j), (1.700980000000000000e+08+0.000000000000000000e+00j)
 (5.494284152886137473e-01+1.093365331293013609e-01j), (2.125975000000000000e+08+0.000000000000000000e+00j)
 (3.123325548181865585e-02+2.460999804160388660e-01j), (2.550970000000000000e+08+0.000000000000000000e+00j)
 (2.422308595539512943e-02+7.732496148535136227e-01j), (2.975965000000000000e+08+0.000000000000000000e+00j)
 (6.640614299561369283e-01+1.291169328202191879e-01j), (3.400960000000000000e+08+0.000000000000000000e+00j)
 (5.373546002629207008e-01+6.313630029642851582e-01j), (3.825955000000000000e+08+0.000000000000000000e+00j)
 (7.915022969762219862e-01+3.095116914677936704e-01j), (4.250950000000000000e+08+0.000000000000000000e+00j)
 (6.173015447720190396e-01+3.638094245784169178e-01j), (4.675945000000000000e+08+0.000000000000000000e+00j)
 (5.422256719075703169e-01+5.159560134450572599e-01j), (5.100940000000000000e+08+0.000000000000000000e+00j)
 (9.069563546664644038e-01+1.344708343594219757e-01j), (5.525935000000000000e+08+0.000000000000000000e+00j)
 (3.006208986087968160e-01+9.418162052776503090e-01j), (5.950930000000000000e+08+0.000000000000000000e+00j)
 (6.180296963103418806e-01+5.102183287419227442e-01j), (6.375925000000000000e+08+0.000000000000000000e+00j)
 (7.304116557110378327e-01+5.067973084594755706e-01j), (6.800920000000000000e+08+0.000000000000000000e+00j)
 (2.168793003129003694e-01+6.697310643979937916e-01j), (7.225915000000000000e+08+0.000000000000000000e+00j)
 (5.575286332739989303e-01+7.191811642109444680e-01j), (7.650910000000000000e+08+0.000000000000000000e+00j)
 (6.670396891303164155e-01+8.935612381686791617e-01j), (8.075905000000000000e+08+0.000000000000000000e+00j)
 (2.070739142132204114e-01+5.923264251672222258e-02j), (8.500900000000000000e+08+0.000000000000000000e+00j)
 (3.483664592471682475e-01+8.026396272477021032e-01j), (8.925895000000000000e+08+0.000000000000000000e+00j)
 (1.283591437907247723e-01+6.404415929748054070e-01j), (9.350890000000000000e+08+0.000000000000000000e+00j)
 (5.818329889628248708e-02+1.741200581474319220e-01j), (9.775885000000000000e+08+0.000000000000000000e+00j)
 (6.404706198716805243e-01+1.428684319963257066e-01j), (1.020088000000000000e+09+0.000000000000000000e+00j)
 (5.893654173001245944e-01+8.179125789446355377e-01j), (1.062587500000000000e+09+0.000000000000000000e+00j)
 (2.675471337572310482e-02+2.731596748074213155e-01j), (1.105087000000000000e+09+0.000000000000000000e+00j)
 (7.411934947872067525e-02+4.577803080034392735e-02j), (1.147586500000000000e+09+0.000000000000000000e+00j)
 (4.810448766801839193e-01+6.514978164956681805e-01j), (1.190086000000000000e+09+0.000000000000000000e+00j)
 (7.895327068389667025e-01+4.199076354744943895e-01j), (1.232585500000000000e+09+0.000000000000000000e+00j)
 (1.780687028946581485e-01+8.091615412423341924e-01j), (1.275085000000000000e+09+0.000000000000000000e+00j)
 (9.047743824297673765e-01+8.721559334981943135e-01j), (1.317584500000000000e+09+0.000000000000000000e+00j)
 (4.001225255959247606e-01+9.721527275122691103e-01j), (1.360084000000000000e+09+0.000000000000000000e+00j)
 (5.521288330903362240e-02+2.517258218273102921e-01j), (1.402583500000000000e+09+0.000000000000000000e+00j)
 (8.906663185129224392e-01+4.410814030160292720e-01j), (1.445083000000000000e+09+0.000000000000000000e+00j)
 (5.415076144505657219e-01+3.652134176536691035e-01j), (1.487582500000000000e+09+0.000000000000000000e+00j)
 (7.649061406834216648e-01+9.411449216979614896e-01j), (1.530082000000000000e+09+0.000000000000000000e+00j)
 (6.141068315414993650e-01+8.714764209091907521e-01j), (1.572581500000000000e+09+0.000000000000000000e+00j)
 (2.051359275103104007e-01+6.677569929294713269e-01j), (1.615081000000000000e+09+0.000000000000000000e+00j)
 (4.181912298158794172e-01+6.567857587952031784e-01j), (1.657580500000000000e+09+0.000000000000000000e+00j)
 (1.198832499832253040e-01+7.409155472145301236e-02j), (1.700080000000000000e+09+0.000000000000000000e+00j)
 (3.284999755652762143e-02+8.682050498466131749e-02j), (1.742579500000000000e+09+0.000000000000000000e+00j)
 (6.461610924083963647e-01+6.214884086418566156e-01j), (1.785079000000000000e+09+0.000000000000000000e+00j)
 (9.097204795211419892e-01+8.803358701538754882e-01j), (1.827578500000000000e+09+0.000000000000000000e+00j)
 (2.297431024125897725e-01+8.799712982498487657e-01j), (1.870078000000000000e+09+0.000000000000000000e+00j)
 (8.595427971496318875e-01+1.361757744876788134e-01j), (1.912577500000000000e+09+0.000000000000000000e+00j)
 (4.339028704496012967e-01+8.159504169173836807e-02j), (1.955077000000000000e+09+0.000000000000000000e+00j)
 (3.403065275491584663e-01+7.056398956749830864e-01j), (1.997576500000000000e+09+0.000000000000000000e+00j)
 (8.942762401081987278e-01+7.100615066323396896e-01j), (2.040076000000000000e+09+0.000000000000000000e+00j)
 (1.035713068738020048e-02+1.719385013084027136e-01j), (2.082575500000000000e+09+0.000000000000000000e+00j)
 (7.177281695087651681e-01+1.155791204212852641e-01j), (2.125075000000000000e+09+0.000000000000000000e+00j)
 (5.223219554962335032e-01+9.246699608232159528e-01j), (2.167574500000000000e+09+0.000000000000000000e+00j)
 (3.687426443065334736e-01+1.267132633110893414e-01j), (2.210074000000000000e+09+0.000000000000000000e+00j)
 (6.051803245174762758e-01+2.938125618523900195e-01j), (2.252573500000000000e+09+0.000000000000000000e+00j)
 (6.622840745139811913e-01+4.843732341599632507e-01j), (2.295073000000000000e+09+0.000000000000000000e+00j)
 (4.984678549367344003e-01+3.015967243351086458e-01j), (2.337572500000000000e+09+0.000000000000000000e+00j)
 (4.423605860658110789e-01+5.476492310480393089e-01j), (2.380072000000000000e+09+0.000000000000000000e+00j)
 (7.831810541917774149e-01+7.417672381944584448e-01j), (2.422571500000000000e+09+0.000000000000000000e+00j)
 (7.496268891572444026e-02+6.194214892881453327e-01j), (2.465071000000000000e+09+0.000000000000000000e+00j)
 (1.115019051651637838e-01+7.442689116855384368e-01j), (2.507570500000000000e+09+0.000000000000000000e+00j)
 (7.399137074759056798e-01+8.176357528647355544e-01j), (2.550070000000000000e+09+0.000000000000000000e+00j)
 (5.480818224706177633e-01+8.942882851082588624e-01j), (2.592569500000000000e+09+0.000000000000000000e+00j)
 (1.746508219251229344e-01+6.200162512797132708e-01j), (2.635069000000000000e+09+0.000000000000000000e+00j)
 (5.289288836044270248e-02+1.798881972075141444e-01j), (2.677568500000000000e+09+0.000000000000000000e+00j)
 (6.108269322184854966e-01+4.044261612865253097e-01j), (2.720068000000000000e+09+0.000000000000000000e+00j)
 (6.209161172402083428e-01+8.216939792981124979e-01j), (2.762567500000000000e+09+0.000000000000000000e+00j)
 (1.718511158234277136e-01+8.209068375696284559e-01j), (2.805067000000000000e+09+0.000000000000000000e+00j)
 (8.899088864686660605e-01+8.437186384563309938e-01j), (2.847566500000000000e+09+0.000000000000000000e+00j)
 (7.785888620992945652e-01+7.857314590824246991e-01j), (2.890066000000000000e+09+0.000000000000000000e+00j)
 (3.384125086014933004e-03+3.235560890254743915e-01j), (2.932565500000000000e+09+0.000000000000000000e+00j)
 (3.420114879398237218e-01+4.471831661543668179e-01j), (2.975065000000000000e+09+0.000000000000000000e+00j)
 (5.019663255397744939e-01+4.205977282499284708e-02j), (3.017564500000000000e+09+0.000000000000000000e+00j)
 (5.932498612964436369e-01+6.657762142602414723e-01j), (3.060064000000000000e+09+0.000000000000000000e+00j)
 (9.481885535856937608e-02+6.839153059199976070e-02j), (3.102563500000000000e+09+0.000000000000000000e+00j)
 (1.436931385198210176e-01+8.386586559580807565e-01j), (3.145063000000000000e+09+0.000000000000000000e+00j)
 (9.293520617247508220e-01+5.542469219879042619e-01j), (3.187562500000000000e+09+0.000000000000000000e+00j)
 (4.077268402147862236e-01+4.979663663649859240e-01j), (3.230062000000000000e+09+0.000000000000000000e+00j)
 (9.719038873786800536e-01+2.825763892133523747e-01j), (3.272561500000000000e+09+0.000000000000000000e+00j)
 (3.673783287417430321e-01+7.429623031981242853e-01j), (3.315061000000000000e+09+0.000000000000000000e+00j)
 (3.167056651881675622e-01+7.025140886769258852e-01j), (3.357560500000000000e+09+0.000000000000000000e+00j)
 (6.461098928882440529e-01+3.290456505319938607e-02j), (3.400060000000000000e+09+0.000000000000000000e+00j)
 (4.089628063183405882e-01+7.053897420245669458e-02j), (3.442559500000000000e+09+0.000000000000000000e+00j)
 (6.325926249505051668e-01+3.926721822554595231e-01j), (3.485059000000000000e+09+0.000000000000000000e+00j)
 (9.572512146210969686e-01+8.905627963658143686e-01j), (3.527558500000000000e+09+0.000000000000000000e+00j)
 (4.312881118068810915e-01+8.325098288769224864e-01j), (3.570058000000000000e+09+0.000000000000000000e+00j)
 (6.557128423145814899e-01+6.322038373289701196e-01j), (3.612557500000000000e+09+0.000000000000000000e+00j)
 (8.423758048484548677e-01+8.372126128862124039e-01j), (3.655057000000000000e+09+0.000000000000000000e+00j)
 (8.148533802372370793e-02+1.871636353957302212e-01j), (3.697556500000000000e+09+0.000000000000000000e+00j)
 (3.530794456244730206e-01+2.398040428879311126e-01j), (3.740056000000000000e+09+0.000000000000000000e+00j)
 (5.440881548865543760e-01+8.086256053960545476e-01j), (3.782555500000000000e+09+0.000000000000000000e+00j)
 (1.155132889806825824e-01+3.571530715903299402e-01j), (3.825055000000000000e+09+0.000000000000000000e+00j)
 (2.312831327517335112e-01+9.435494373293182857e-01j), (3.867554500000000000e+09+0.000000000000000000e+00j)
 (2.619395936913765377e-01+2.950323049867786818e-02j), (3.910054000000000000e+09+0.000000000000000000e+00j)
 (1.771555878295675290e-01+7.239439125634222760e-01j), (3.952553500000000000e+09+0.000000000000000000e+00j)
 (9.084053635406504901e-01+1.576709409046167520e-01j), (3.995053000000000000e+09+0.000000000000000000e+00j)
 (7.518282034665501046e-01+1.313216375044042872e-01j), (4.037552500000000000e+09+0.000000000000000000e+00j)
 (9.390327211217058823e-01+3.607647951911621131e-01j), (4.080052000000000000e+09+0.000000000000000000e+00j)
 (4.879343063659082880e-01+5.630741902962299594e-01j), (4.122551500000000000e+09+0.000000000000000000e+00j)
 (3.501265543006034653e-01+2.195342209334478767e-01j), (4.165051000000000000e+09+0.000000000000000000e+00j)
 (2.953897085521234311e-01+4.169168423857855243e-01j), (4.207550500000000000e+09+0.000000000000000000e+00j)
 (1.581293654298223661e-01+6.536151641642143906e-01j), (4.250050000000000000e+09+0.000000000000000000e+00j)
 (6.432335248725196131e-01+8.607260895205760542e-01j), (4.292549500000000000e+09+0.000000000000000000e+00j)
 (3.418294938399957239e-01+8.843366042884915901e-01j), (4.335049000000000000e+09+0.000000000000000000e+00j)
 (8.974406053279569973e-01+6.229550434669289816e-01j), (4.377548500000000000e+09+0.000000000000000000e+00j)
 (6.980467556239533522e-01+5.193160158829154271e-01j), (4.420048000000000000e+09+0.000000000000000000e+00j)
 (8.658530585444208505e-01+3.989851847174896715e-01j), (4.462547500000000000e+09+0.000000000000000000e+00j)
 (1.465289084040772849e-01+8.629651490296704752e-01j), (4.505047000000000000e+09+0.000000000000000000e+00j)
 (3.349912232149163671e-01+7.435067917430763229e-01j), (4.547546500000000000e+09+0.000000000000000000e+00j)
 (8.793443841565783403e-01+1.739916913745404026e-01j), (4.590046000000000000e+09+0.000000000000000000e+00j)
 (5.567583503218959118e-01+8.377619901319147688e-01j), (4.632545500000000000e+09+0.000000000000000000e+00j)
 (6.606127079618522302e-01+6.964691527367289359e-01j), (4.675045000000000000e+09+0.000000000000000000e+00j)
 (6.396441986858535378e-01+9.071029115388085096e-02j), (4.717544500000000000e+09+0.000000000000000000e+00j)
 (9.999053440169325402e-01+9.883517025859038796e-01j), (4.760044000000000000e+09+0.000000000000000000e+00j)
 (9.280358903614643884e-01+9.449646218637047790e-01j), (4.802543500000000000e+09+0.000000000000000000e+00j)
 (6.650217254154713320e-01+8.428389645027414279e-01j), (4.845043000000000000e+09+0.000000000000000000e+00j)
 (9.551390387222086220e-01+9.347140804300269057e-01j), (4.887542500000000000e+09+0.000000000000000000e+00j)
 (3.045679394894340586e-02+9.233367102599870924e-01j), (4.930042000000000000e+09+0.000000000000000000e+00j)
 (1.917163680247734314e-01+9.446680231560198315e-01j), (4.972541500000000000e+09+0.000000000000000000e+00j)
 (2.743520176828664336e-01+8.819867747345885300e-01j), (5.015041000000000000e+09+0.000000000000000000e+00j)
 (8.408784782338970532e-01+7.957712577408960763e-01j), (5.057540500000000000e+09+0.000000000000000000e+00j)
 (6.529617496818281852e-01+5.333322138804099666e-01j), (5.100040000000000000e+09+0.000000000000000000e+00j)
 (7.452231847966188649e-01+5.012652490743910727e-01j), (5.142539500000000000e+09+0.000000000000000000e+00j)
 (2.386946357697384835e-01+3.008298046464770170e-01j), (5.185039000000000000e+09+0.000000000000000000e+00j)
 (8.841271465605511359e-01+7.359096962566227251e-01j), (5.227538500000000000e+09+0.000000000000000000e+00j)
 (5.945810717130272094e-01+9.662920298843432620e-01j), (5.270038000000000000e+09+0.000000000000000000e+00j)
 (5.745175666676708426e-01+7.327261328399714557e-01j), (5.312537500000000000e+09+0.000000000000000000e+00j)
 (6.239868155679473283e-01+2.846331550800303978e-01j), (5.355037000000000000e+09+0.000000000000000000e+00j)
 (5.777932860593637532e-02+3.540270109909010587e-01j), (5.397536500000000000e+09+0.000000000000000000e+00j)
 (8.817302718586574883e-01+2.410929113503146315e-02j), (5.440036000000000000e+09+0.000000000000000000e+00j)
 (1.466429588936976058e-01+3.181966578270120083e-01j), (5.482535500000000000e+09+0.000000000000000000e+00j)
 (1.618004705326064885e-01+6.838081110219914605e-01j), (5.525035000000000000e+09+0.000000000000000000e+00j)
 (2.725754815752333693e-01+2.607251756264105103e-01j), (5.567534500000000000e+09+0.000000000000000000e+00j)
 (8.413257595375700504e-01+5.134990304194346766e-01j), (5.610034000000000000e+09+0.000000000000000000e+00j)
 (7.067961426135949132e-02+3.570755371497793540e-01j), (5.652533500000000000e+09+0.000000000000000000e+00j)
 (3.614251345158250306e-01+7.346145697873148750e-01j), (5.695033000000000000e+09+0.000000000000000000e+00j)
 (3.974745670007826526e-01+5.114103848523173790e-01j), (5.737532500000000000e+09+0.000000000000000000e+00j)
 (5.991461164942326612e-01+2.346099828555961997e-01j), (5.780032000000000000e+09+0.000000000000000000e+00j)
 (2.377640610235280949e-01+1.349440365112928308e-01j), (5.822531500000000000e+09+0.000000000000000000e+00j)
 (1.954676333223467344e-01+7.242115240332014370e-01j), (5.865031000000000000e+09+0.000000000000000000e+00j)
 (3.967936655175399174e-01+1.595944385152863187e-01j), (5.907530500000000000e+09+0.000000000000000000e+00j)
 (6.280303102249331637e-01+8.901371904142807434e-01j), (5.950030000000000000e+09+0.000000000000000000e+00j)
 (5.540166943111646258e-01+4.229229302931398760e-01j), (5.992529500000000000e+09+0.000000000000000000e+00j)
 (2.251809436311252854e-01+1.171867128632242405e-01j), (6.035029000000000000e+09+0.000000000000000000e+00j)
 (3.053178574623165442e-01+6.707740711023633118e-01j), (6.077528500000000000e+09+0.000000000000000000e+00j)
 (3.090832440671178460e-01+5.631431000360701544e-01j), (6.120028000000000000e+09+0.000000000000000000e+00j)
 (3.173683611485030864e-01+6.233214741936168313e-01j), (6.162527500000000000e+09+0.000000000000000000e+00j)
 (4.595721212383314658e-01+6.433459776520706885e-01j), (6.205027000000000000e+09+0.000000000000000000e+00j)
 (8.109178151451775785e-01+1.917063931108484720e-01j), (6.247526500000000000e+09+0.000000000000000000e+00j)
 (5.606469907237436878e-01+9.625767510990974607e-01j), (6.290026000000000000e+09+0.000000000000000000e+00j)
 (7.890625487725966281e-01+8.651288503115530659e-01j), (6.332525500000000000e+09+0.000000000000000000e+00j)
 (4.997604584784697268e-01+4.984520352902036544e-01j), (6.375025000000000000e+09+0.000000000000000000e+00j)
 (9.673476175261203069e-01+3.904339681644043436e-01j), (6.417524500000000000e+09+0.000000000000000000e+00j)
 (7.162898037243836669e-01+6.586521778700821228e-01j), (6.460024000000000000e+09+0.000000000000000000e+00j)
 (3.592197968677888209e-01+5.342071035547850677e-01j), (6.502523500000000000e+09+0.000000000000000000e+00j)
 (4.205380641374222295e-01+2.666508658234914009e-01j), (6.545023000000000000e+09+0.000000000000000000e+00j)
 (1.658632169001036383e-01+3.862748581884081212e-01j), (6.587522500000000000e+09+0.000000000000000000e+00j)
 (6.393525298375640764e-01+8.147195485783071955e-01j), (6.630022000000000000e+09+0.000000000000000000e+00j)
 (7.962650902216209525e-01+4.787308341618338181e-01j), (6.672521500000000000e+09+0.000000000000000000e+00j)
 (7.433770575916308632e-01+9.648824802501293485e-01j), (6.715021000000000000e+09+0.000000000000000000e+00j)
 (2.314225343963778325e-01+2.910068003056401897e-01j), (6.757520500000000000e+09+0.000000000000000000e+00j)
 (8.268630666557235109e-01+4.437976911792704815e-01j), (6.800020000000000000e+09+0.000000000000000000e+00j)
 (1.401047427152685154e-01+6.625124987277009048e-02j), (6.842519500000000000e+09+0.000000000000000000e+00j)
 (7.426723744788797932e-01+5.328521161359971448e-01j), (6.885019000000000000e+09+0.000000000000000000e+00j)
 (2.880781872611197780e-01+1.346454491145590016e-01j), (6.927518500000000000e+09+0.000000000000000000e+00j)
 (5.972851073413723011e-01+1.508680171346571397e-01j), (6.970018000000000000e+09+0.000000000000000000e+00j)
 (7.535399861250449138e-01+6.666810287659769019e-01j), (7.012517500000000000e+09+0.000000000000000000e+00j)
 (9.219927812990091898e-01+9.663798052367227331e-01j), (7.055017000000000000e+09+0.000000000000000000e+00j)
 (8.069287795690716081e-02+7.044495790784000011e-02j), (7.097516500000000000e+09+0.000000000000000000e+00j)
 (1.145065391829852564e-01+6.430468908206929957e-01j), (7.140016000000000000e+09+0.000000000000000000e+00j)
 (2.455196755727673263e-02+1.687102786825351863e-01j), (7.182515500000000000e+09+0.000000000000000000e+00j)
 (8.680421974548280240e-01+5.064071581714122416e-01j), (7.225015000000000000e+09+0.000000000000000000e+00j)
 (6.164175818475793323e-01+6.475549362608690185e-02j), (7.267514500000000000e+09+0.000000000000000000e+00j)
 (2.852020330015314631e-01+9.452299752752136852e-01j), (7.310014000000000000e+09+0.000000000000000000e+00j)
 (9.526226143064941976e-02+4.913312273644786510e-01j), (7.352513500000000000e+09+0.000000000000000000e+00j)
 (7.139682896796550882e-02+8.965415039363895389e-01j), (7.395013000000000000e+09+0.000000000000000000e+00j)
 (6.708640330200235091e-01+7.907313264036459621e-01j), (7.437512500000000000e+09+0.000000000000000000e+00j)
 (5.815914610901523618e-01+1.697309614195849914e-01j), (7.480012000000000000e+09+0.000000000000000000e+00j)
 (4.941546618917426192e-01+2.562084600549141555e-01j), (7.522511500000000000e+09+0.000000000000000000e+00j)
 (3.968275627357444879e-01+2.265419672713097077e-01j), (7.565011000000000000e+09+0.000000000000000000e+00j)
 (9.175689464871313872e-01+4.491134335095211538e-01j), (7.607510500000000000e+09+0.000000000000000000e+00j)
 (8.195971699605585359e-01+1.414977244556466784e-01j), (7.650010000000000000e+09+0.000000000000000000e+00j)
 (7.398556501298292343e-02+1.179220288921589699e-04j), (7.692509500000000000e+09+0.000000000000000000e+00j)
 (7.389319529527371699e-03+1.148896286131130262e-01j), (7.735009000000000000e+09+0.000000000000000000e+00j)
 (7.603713857318149527e-01+2.745052695487737449e-01j), (7.777508500000000000e+09+0.000000000000000000e+00j)
 (9.707383692891156102e-01+7.860892027399003501e-01j), (7.820008000000000000e+09+0.000000000000000000e+00j)
 (4.885022863278698502e-01+5.489042934211998404e-01j), (7.862507500000000000e+09+0.000000000000000000e+00j)
 (8.796884278880725549e-01+7.223136738208494334e-01j), (7.905007000000000000e+09+0.000000000000000000e+00j)
 (5.244439249348085141e-01+3.477518099383901662e-01j), (7.947506500000000000e+09+0.000000000000000000e+00j)
 (8.608176451489182313e-01+4.668420636229174692e-01j), (7.990006000000000000e+09+0.000000000000000000e+00j)
 (4.682760556667177054e-01+4.893069977924633385e-01j), (8.032505500000000000e+09+0.000000000000000000e+00j)
 (8.781471236383985302e-01+9.860665672817220395e-01j), (8.075005000000000000e+09+0.000000000000000000e+00j)
 (3.283488420153796161e-01+9.087430531060447514e-02j), (8.117504500000000000e+09+0.000000000000000000e+00j)
 (3.464420474414700024e-01+4.141592694445118683e-01j), (8.160004000000000000e+09+0.000000000000000000e+00j)
 (8.137850634150289864e-02+9.460055176886167372e-01j), (8.202503500000000000e+09+0.000000000000000000e+00j)
 (1.933911048723877535e-01+8.995718965976138293e-01j), (8.245003000000000000e+09+0.000000000000000000e+00j)
 (4.044618712675045469e-01+6.435341538321578403e-01j), (8.287502500000000000e+09+0.000000000000000000e+00j)
 (3.754596435600412452e-01+8.591808584637584678e-01j), (8.330002000000000000e+09+0.000000000000000000e+00j)
 (6.732482410170471665e-01+3.464902304252032161e-01j), (8.372501500000000000e+09+0.000000000000000000e+00j)
 (6.683690335768556201e-01+5.833236382245832186e-02j), (8.415001000000000000e+09+0.000000000000000000e+00j)
 (8.449372166669936179e-01+1.587431362077251773e-02j), (8.457500500000000000e+09+0.000000000000000000e+00j)
