,x,y,z,w,freq,S11,S22
0,0.0,0.0,0.0,0.0,(0.7663942601355636+0.746900958688004j),(0.666324169188475+0.8736383634685989j),(100000+0j)
1,0.0,0.0,0.0,0.0,(0.9217205789816934+0.4131846586194279j),(0.05737186503411584+0.8630383925849664j),(42599500+0j)
2,0.0,0.0,0.0,0.0,(0.10246459600639857+0.48722515066170513j),(0.7141257255349791+0.26296544364332375j),(85099000+0j)
3,0.0,0.0,0.0,0.0,(0.6023700025294568+0.5218377896743757j),(0.792473907988694+0.6135990631075771j),(127598500+0j)
4,0.0,0.0,0.0,0.0,(0.05533426065996161+0.549309557073197j),(0.14146559700368067+0.07427658244097979j),(170098000+0j)
5,0.0,0.0,0.0,0.0,(0.01817783033295972+0.17509420792773767j),(0.17399440523176302+0.19030535870750465j),(212597500+0j)
6,0.0,0.0,0.0,0.0,(0.8603631150433931+0.7396592411664975j),(0.29970265108647354+0.23911879515590773j),(255097000+0j)
7,0.0,0.0,0.0,0.0,(0.7045934078797254+0.5293922897550459j),(0.9564836270547+0.8978075992950802j),(297596500+0j)
8,0.0,0.0,0.0,0.0,(0.9741557397929413+0.41296265165538204j),(0.4024827171167359+0.7477052397618276j),(340096000+0j)
9,0.0,0.0,0.0,0.0,(0.14444592562770575+0.39944084036796523j),(0.8319427094963293+0.20663177289723256j),(382595500+0j)
10,0.0,0.0,0.0,0.0,(0.37244560402932325+0.6241118558305498j),(0.8762782503969676+0.6463162354406855j),(425095000+0j)
11,0.0,0.0,0.0,0.0,(0.8779724144208623+0.01721897787761728j),(0.5582698659208104+0.5362635135812706j),(467594500+0j)
12,0.0,0.0,0.0,0.0,(0.5233754569423116+0.5214113178822868j),(0.4220473711581375+0.6335347875320854j),(510094000+0j)
13,0.0,0.0,0.0,0.0,(0.6702060141917334+0.05434992618200174j),(0.865244800965735+0.4102021979764069j),(552593500+0j)
14,0.0,0.0,0.0,0.0,(0.3904065787805715+0.1510995268503339j),(0.5321404607941931+0.7647238981101896j),(595093000+0j)
15,0.0,0.0,0.0,0.0,(0.7949656286712735+0.45303933464445745j),(0.4263243607216136+0.7507708693872087j),(637592500+0j)
16,0.0,0.0,0.0,0.0,(0.19917657896943552+0.5563769000588289j),(0.99958576825608+0.9706010292912781j),(680092000+0j)
17,0.0,0.0,0.0,0.0,(0.011153298023032776+0.11234166952144498j),(0.20218296654108237+0.7570200539819508j),(722591500+0j)
