# freq,S11
 (1.852332688449793707e-01+5.945334102045488622e-01j), (1.000000000000000000e+05+0.000000000000000000e+00j)
 (3.253534989160256075e-01+4.083155742468582705e-01j), (4.259950000000000000e+07+0.000000000000000000e+00j)
 (9.850160252895756585e-01+7.719425502360743874e-01j), (8.509900000000000000e+07+0.000000000000000000e+00j)
 (1.947512039674842432e-01+4.159338940518108041e-01j), (1.275985000000000000e+08+0.000000000000000000e+00j)
 (6.506575217240057052e-01+4.634726194712494030e-01j), (1.700980000000000000e+08+0.000000000000000000e+00j)
 (4.117813321287946415e-01+2.665789054718563644e-01j), (2.125975000000000000e+08+0.000000000000000000e+00j)
 (1.510326383085949242e-01+9.073993679650693700e-02j), (2.550970000000000000e+08+0.000000000000000000e+00j)
 (8.805908813133787039e-01+4.042425993236244963e-01j), (2.975965000000000000e+08+0.000000000000000000e+00j)
 (2.612181900640764276e-02+1.055546700450010755e-01j), (3.400960000000000000e+08+0.000000000000000000e+00j)
 (4.089625043197756549e-01+2.400621226997375901e-01j), (3.825955000000000000e+08+0.000000000000000000e+00j)
 (1.159209337054351030e-01+1.732354834952001266e-01j), (4.250950000000000000e+08+0.000000000000000000e+00j)
 (9.516343005357781326e-01+6.187369422198492064e-01j), (4.675945000000000000e+08+0.000000000000000000e+00j)
 (2.989169660380180948e-01+4.436311143665300216e-01j), (5.100940000000000000e+08+0.000000000000000000e+00j)
 (4.389833289033470143e-01+6.160558460694359750e-01j), (5.525935000000000000e+08+0.000000000000000000e+00j)
 (3.678584780681193322e-01+7.850500917413705260e-01j), (5.950930000000000000e+08+0.000000000000000000e+00j)
 (3.566280378069626167e-01+7.838806387948548116e-01j), (6.375925000000000000e+08+0.000000000000000000e+00j)
 (1.655353458598798344e-01+7.344208949900093986e-01j), (6.800920000000000000e+08+0.000000000000000000e+00j)
 (9.636108401990571837e-01+3.605028332753345000e-01j), (7.225915000000000000e+08+0.000000000000000000e+00j)
 (4.244580557679400457e-03+2.128143039718923824e-01j), (7.650910000000000000e+08+0.000000000000000000e+00j)
 (8.668195045830975332e-01+3.264492967491678943e-01j), (8.075905000000000000e+08+0.000000000000000000e+00j)
 (5.878439376376222159e-01+7.974657732216000605e-01j), (8.500900000000000000e+08+0.000000000000000000e+00j)
 (4.975197865417030352e-01+7.936631588587972352e-01j), (8.925895000000000000e+08+0.000000000000000000e+00j)
 (5.907777235276338024e-01+3.336547976098985790e-01j), (9.350890000000000000e+08+0.000000000000000000e+00j)
 (9.398246962630817380e-01+5.657950888456235727e-01j), (9.775885000000000000e+08+0.000000000000000000e+00j)
 (4.533824987538420670e-01+6.874224141340032901e-01j), (1.020088000000000000e+09+0.000000000000000000e+00j)
 (1.346660072470795555e-02+2.020178594541988115e-01j), (1.062587500000000000e+09+0.000000000000000000e+00j)
 (1.274409948155285077e-01+2.438419990090138212e-01j), (1.105087000000000000e+09+0.000000000000000000e+00j)
 (8.045782792763095381e-01+9.879388711461859485e-01j), (1.147586500000000000e+09+0.000000000000000000e+00j)
 (5.224442772199626717e-01+9.139365329793502912e-02j), (1.190086000000000000e+09+0.000000000000000000e+00j)
 (5.067367742015359555e-01+8.355253844494618942e-01j), (1.232585500000000000e+09+0.000000000000000000e+00j)
 (7.804210257530640460e-01+3.182746405578519289e-01j), (1.275085000000000000e+09+0.000000000000000000e+00j)
 (5.310360491927050841e-01+2.283216328158330644e-01j), (1.317584500000000000e+09+0.000000000000000000e+00j)
 (6.555102242320867134e-01+2.645343819727266066e-01j), (1.360084000000000000e+09+0.000000000000000000e+00j)
 (4.250421240319313121e-01+2.028509433920130389e-01j), (1.402583500000000000e+09+0.000000000000000000e+00j)
 (2.233090636782459892e-01+1.421609038531578273e-01j), (1.445083000000000000e+09+0.000000000000000000e+00j)
 (1.229588466487130383e-03+1.564151086183929174e-01j), (1.487582500000000000e+09+0.000000000000000000e+00j)
 (3.662506339011263323e-01+1.935079745790602157e-02j), (1.530082000000000000e+09+0.000000000000000000e+00j)
 (5.255436971770031107e-01+6.213181983212984205e-01j), (1.572581500000000000e+09+0.000000000000000000e+00j)
 (1.314735710579576500e-01+5.097169682286956105e-01j), (1.615081000000000000e+09+0.000000000000000000e+00j)
 (4.172365593757091373e-01+1.370345947467990211e-01j), (1.657580500000000000e+09+0.000000000000000000e+00j)
 (9.058086343146711794e-01+9.492951338376378612e-01j), (1.700080000000000000e+09+0.000000000000000000e+00j)
 (5.986423758619349167e-01+5.945746815857889667e-01j), (1.742579500000000000e+09+0.000000000000000000e+00j)
 (6.983725173030770339e-01+7.484305596139786410e-01j), (1.785079000000000000e+09+0.000000000000000000e+00j)
 (2.657765263489265672e-01+6.484109731998735082e-01j), (1.827578500000000000e+09+0.000000000000000000e+00j)
 (8.683264571016214850e-01+3.599844804377709817e-01j), (1.870078000000000000e+09+0.000000000000000000e+00j)
 (2.229632468957690739e-01+9.049021964097548887e-01j), (1.912577500000000000e+09+0.000000000000000000e+00j)
 (6.609749148783261585e-02+3.959360381717937916e-01j), (1.955077000000000000e+09+0.000000000000000000e+00j)
 (4.907983337204229191e-01+8.101324195661034899e-01j), (1.997576500000000000e+09+0.000000000000000000e+00j)
 (2.931783911729642922e-01+8.959756788291717289e-01j), (2.040076000000000000e+09+0.000000000000000000e+00j)
 (3.391805953511822791e-01+9.980476714098780455e-01j), (2.082575500000000000e+09+0.000000000000000000e+00j)
 (7.612063339760143377e-01+6.969022612192254940e-02j), (2.125075000000000000e+09+0.000000000000000000e+00j)
 (6.923145751824224536e-01+8.507535824505829680e-01j), (2.167574500000000000e+09+0.000000000000000000e+00j)
 (3.627315479379440433e-01+1.607330986794874850e-02j), (2.210074000000000000e+09+0.000000000000000000e+00j)
 (9.806246823463778961e-01+4.646451400755886585e-01j), (2.252573500000000000e+09+0.000000000000000000e+00j)
 (9.366467010863376297e-01+7.754296384928325292e-01j), (2.295073000000000000e+09+0.000000000000000000e+00j)
 (9.929398211452920009e-01+5.835194520432470666e-01j), (2.337572500000000000e+09+0.000000000000000000e+00j)
 (9.909219889038647366e-01+4.138621056623724703e-01j), (2.380072000000000000e+09+0.000000000000000000e+00j)
 (7.752023525405498106e-01+4.210462123746694374e-02j), (2.422571500000000000e+09+0.000000000000000000e+00j)
 (1.564707649955652258e-01+4.356097164842429592e-01j), (2.465071000000000000e+09+0.000000000000000000e+00j)
 (8.106284376289318860e-02+8.450270456515522888e-01j), (2.507570500000000000e+09+0.000000000000000000e+00j)
 (5.034899455530823520e-01+3.344798826274191228e-01j), (2.550070000000000000e+09+0.000000000000000000e+00j)
 (8.453804680043350839e-01+3.888951667328489625e-01j), (2.592569500000000000e+09+0.000000000000000000e+00j)
 (2.059640564570155430e-01+3.279407220282136715e-01j), (2.635069000000000000e+09+0.000000000000000000e+00j)
