# freq,S11,S22
 (8.679228790075068645e-01+3.608100881203011312e-01j), (8.895734491498787921e-01+1.618736266895901554e-01j), (1.000000000000000000e+05+0.000000000000000000e+00j)
 (5.276675345742477541e-01+9.040564339518478709e-01j), (6.731392156073596755e-01+1.110317938402592963e-01j), (4.259950000000000000e+07+0.000000000000000000e+00j)
 (6.224704742571189886e-01+9.116645384731776325e-01j), (2.660778493515579823e-01+8.789859326043116816e-01j), (8.509900000000000000e+07+0.000000000000000000e+00j)
 (9.516246391483771383e-01+3.996737365838628486e-01j), (2.506058530623646030e-01+9.821659981666558403e-01j), (1.275985000000000000e+08+0.000000000000000000e+00j)
 (6.378532140684128882e-01+4.762153693050021896e-01j), (1.110020970087266523e-02+9.219306315639014260e-01j), (1.700980000000000000e+08+0.000000000000000000e+00j)
 (7.783597430859323651e-03+3.602615615793245407e-01j), (1.509809357446241229e-01+2.831815504246527615e-01j), (2.125975000000000000e+08+0.000000000000000000e+00j)
 (9.329140783683530502e-01+9.221583999239192364e-01j), (3.854608568933379775e-01+7.062885539124078571e-01j), (2.550970000000000000e+08+0.000000000000000000e+00j)
 (6.918966032811335598e-02+7.398503308307140536e-01j), (1.419830384724596328e-02+5.840155558734818619e-01j), (2.975965000000000000e+08+0.000000000000000000e+00j)
 (6.496952205593430341e-01+7.374680205774828412e-01j), (6.036626503948802069e-01+5.230528712429153293e-01j), (3.400960000000000000e+08+0.000000000000000000e+00j)
 (1.580423880848843554e-01+6.002780892517395328e-01j), (9.553205365573331775e-01+3.116597919401952188e-01j), (3.825955000000000000e+08+0.000000000000000000e+00j)
 (9.230847058267138694e-01+5.749574161571385789e-01j), (6.985138753939751366e-01+8.296027199453320788e-01j), (4.250950000000000000e+08+0.000000000000000000e+00j)
 (3.018310566192039524e-01+1.522460248542890637e-01j), (8.137848956896869268e-01+3.197566933440086911e-01j), (4.675945000000000000e+08+0.000000000000000000e+00j)
 (5.934188960035938765e-01+1.333516221165065296e-02j), (2.525013324021865291e-01+2.208895139478704861e-01j), (5.100940000000000000e+08+0.000000000000000000e+00j)
 (4.152888180130043239e-02+2.263887751166862028e-01j), (4.566512394874583380e-01+5.582278452924693823e-04j), (5.525935000000000000e+08+0.000000000000000000e+00j)
 (4.160138222012348397e-01+3.679645076192175068e-01j), (7.224413763028673108e-01+3.796069391819568706e-01j), (5.950930000000000000e+08+0.000000000000000000e+00j)
 (1.731504575156272985e-02+6.978501885605984389e-01j), (5.014601081566374408e-01+8.929934829187851086e-01j), (6.375925000000000000e+08+0.000000000000000000e+00j)
 (2.871551622207344501e-01+6.430947813670796487e-01j), (7.712858009737740828e-01+2.549335686099670761e-01j), (6.800920000000000000e+08+0.000000000000000000e+00j)
