# freq,S11,S22
 (3.364920655322414245e-01+1.905045319758534861e-01j), (3.090897277125275178e-01+6.087916892331524110e-02j), (1.000000000000000000e+05+0.000000000000000000e+00j)
 (8.423826196633875663e-01+7.164924695131021926e-01j), (9.901379722146762541e-01+6.088537423224799072e-01j), (4.259950000000000000e+07+0.000000000000000000e+00j)
 (9.533227583562209340e-02+4.657277713085734572e-01j), (2.666610920697146669e-01+3.059143779279382969e-02j), (8.509900000000000000e+07+0.000000000000000000e+00j)
 (2.900822166906782407e-01+7.545763101579509025e-01j), (9.662496438330787640e-01+5.647343407218370359e-01j), (1.275985000000000000e+08+0.000000000000000000e+00j)
 (1.575630614042589084e-01+4.084058883892034419e-01j), (5.779719092661985691e-01+7.478222411311956641e-01j), (1.700980000000000000e+08+0.000000000000000000e+00j)
 (5.770157242432838451e-01+8.598945783977196555e-02j), (7.541771900995012379e-01+8.965398700729175774e-01j), (2.125975000000000000e+08+0.000000000000000000e+00j)
 (4.338967057814417938e-01+1.611144479613763059e-01j), (3.606983761292420487e-01+5.675531254307375484e-02j), (2.550970000000000000e+08+0.000000000000000000e+00j)
 (4.134201928785424807e-01+6.239201824468043611e-02j), (5.409866024353429115e-01+9.800516900682740840e-01j), (2.975965000000000000e+08+0.000000000000000000e+00j)
 (8.589204992710688380e-01+7.714785186296460040e-01j), (4.591982404812640084e-01+7.009522336748001958e-01j), (3.400960000000000000e+08+0.000000000000000000e+00j)
 (4.139877816086958706e-01+1.884034593085255338e-01j), (8.494090297576527560e-01+5.506189250807919100e-01j), (3.825955000000000000e+08+0.000000000000000000e+00j)
 (9.762072506779289061e-01+6.529609579426720600e-03j), (6.400371016718933159e-01+2.738214314276173900e-01j), (4.250950000000000000e+08+0.000000000000000000e+00j)
 (3.839940171729229190e-01+5.744871852025251746e-01j), (6.475779321595520610e-01+2.955457722377985430e-01j), (4.675945000000000000e+08+0.000000000000000000e+00j)
 (3.259368229192459721e-01+3.494681455224968314e-02j), (4.295192674706249658e-01+1.201686468931546514e-01j), (5.100940000000000000e+08+0.000000000000000000e+00j)
 (8.686793585792987882e-01+1.812365194399678803e-01j), (7.195583907256665190e-01+4.611475601243242295e-02j), (5.525935000000000000e+08+0.000000000000000000e+00j)
 (8.074280477627413521e-01+2.094681957677689832e-01j), (1.403115383139770245e-01+2.128279623608128057e-01j), (5.950930000000000000e+08+0.000000000000000000e+00j)
 (2.837026560927344843e-01+8.088341101273262002e-01j), (6.761208466870549660e-02+5.879128981888073202e-01j), (6.375925000000000000e+08+0.000000000000000000e+00j)
 (6.433060655459550414e-01+5.281319781167359562e-01j), (1.981432180030587853e-01+7.151369136667372617e-01j), (6.800920000000000000e+08+0.000000000000000000e+00j)
 (4.964275248035954213e-01+3.913044326882328949e-01j), (9.944620125710884606e-01+4.120484803355261016e-01j), (7.225915000000000000e+08+0.000000000000000000e+00j)
 (9.350515776017350733e-01+9.814530951480577858e-01j), (7.356454029005767836e-01+6.894568344101538182e-01j), (7.650910000000000000e+08+0.000000000000000000e+00j)
 (7.968042316431450667e-01+3.381819912074742751e-01j), (8.279481016053341635e-01+6.027526533418658961e-01j), (8.075905000000000000e+08+0.000000000000000000e+00j)
 (9.927246204999331525e-01+7.094065120464692065e-01j), (6.720667951855807676e-01+6.188290951317052535e-01j), (8.500900000000000000e+08+0.000000000000000000e+00j)
 (4.229463874494784337e-01+6.253686775425594258e-01j), (3.759314066587334802e-01+6.099993240789023385e-01j), (8.925895000000000000e+08+0.000000000000000000e+00j)
 (9.553085948690269724e-01+7.063051337515970918e-01j), (2.018733867787484426e-01+5.531435968178161078e-01j), (9.350890000000000000e+08+0.000000000000000000e+00j)
 (7.956999146791127187e-01+6.814881144905939880e-01j), (5.061729275001147776e-02+3.953597982452908832e-01j), (9.775885000000000000e+08+0.000000000000000000e+00j)
 (2.796882626287034990e-01+8.848392269686821132e-01j), (6.130462549930949523e-01+4.698123864047416554e-01j), (1.020088000000000000e+09+0.000000000000000000e+00j)
 (9.486807863353498016e-01+9.379574335377444116e-01j), (5.664339746049449342e-01+1.930154325338979682e-01j), (1.062587500000000000e+09+0.000000000000000000e+00j)
 (5.316618563587692803e-01+7.143888874605278660e-01j), (4.652318370456759444e-01+9.290784777917092674e-01j), (1.105087000000000000e+09+0.000000000000000000e+00j)
